Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.32     0.00        9     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_deallocate(std::string*, unsigned int)
  0.00      0.32     0.00        9     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  0.00      0.32     0.00        9     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin()
  0.00      0.32     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::string>::deallocate(std::string*, unsigned int)
  0.00      0.32     0.00        8     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_check_len(unsigned int, char const*) const
  0.00      0.32     0.00        8     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.00      0.32     0.00        8     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.32     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator-(int const&) const
  0.00      0.32     0.00        7     0.00     0.00  void std::__move_median_first<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string>(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.00      0.32     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        6     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, true>::_S_base(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        6     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        4     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, false>::_S_base(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        4     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        3     0.00     0.00  std::set<std::string, std::less<std::string>, std::allocator<std::string> >::clear()
  0.00      0.32     0.00        3     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_leftmost()
  0.00      0.32     0.00        3     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_rightmost()
  0.00      0.32     0.00        3     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::clear()
  0.00      0.32     0.00        3     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_root()
  0.00      0.32     0.00        3     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_erase(std::_Rb_tree_node<std::string>*)
  0.00      0.32     0.00        2     0.00     0.00  std::string* std::__copy_move_backward<false, false, std::random_access_iterator_tag>::__copy_move_b<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00      0.32     0.00        2     0.00     0.00  std::_Rb_tree_const_iterator<std::string>::_Rb_tree_const_iterator(std::_Rb_tree_node<std::string> const*)
  0.00      0.32     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::copy_backward<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        2     0.00     0.00  std::string* std::__copy_move_backward_a<false, std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00      0.32     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::__copy_move_backward_a2<false, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator(__gnu_cxx::new_allocator<std::string> const&)
  0.00      0.32     0.00        1     0.00     0.00  bool __gnu_cxx::operator==<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      0.32     0.00        1     0.00     0.00  std::set<std::string, std::less<std::string>, std::allocator<std::string> >::end() const
  0.00      0.32     0.00        1     0.00     0.00  std::set<std::string, std::less<std::string>, std::allocator<std::string> >::begin() const
  0.00      0.32     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::end() const
  0.00      0.32     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::begin() const
  0.00      0.32     0.00        1     0.00     0.00  std::allocator<std::string>::allocator()
  0.00      0.32     0.00        1     0.00     0.00  std::allocator<std::string>::allocator(std::allocator<std::string> const&)
  0.00      0.32     0.00        1     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00      0.32     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl(std::allocator<std::string> const&)
  0.00      0.32     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::~_Vector_impl()
  0.00      0.32     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base(std::allocator<std::string> const&)
  0.00      0.32     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::~_Vector_base()
  0.00      0.32     0.00        1     0.00     0.00  std::string* std::__uninitialized_copy<false>::__uninit_copy<std::_Rb_tree_const_iterator<std::string>, std::string*>(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::string*)
  0.00      0.32     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_erase_at_end(std::string*)
  0.00      0.32     0.00        1     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::_M_range_initialize<std::_Rb_tree_const_iterator<std::string> >(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::forward_iterator_tag)
  0.00      0.32     0.00        1     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::_M_initialize_dispatch<std::_Rb_tree_const_iterator<std::string> >(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::__false_type)
  0.00      0.32     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::clear()
  0.00      0.32     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector<std::_Rb_tree_const_iterator<std::string> >(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::allocator<std::string> const&)
  0.00      0.32     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.00      0.32     0.00        1     0.00     0.00  std::iterator_traits<std::_Rb_tree_const_iterator<std::string> >::difference_type std::__distance<std::_Rb_tree_const_iterator<std::string> >(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::input_iterator_tag)
  0.00      0.32     0.00        1     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        1     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, int>(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, int)
  0.00      0.32     0.00        1     0.00     0.00  std::string* std::uninitialized_copy<std::_Rb_tree_const_iterator<std::string>, std::string*>(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::string*)
  0.00      0.32     0.00        1     0.00     0.00  std::iterator_traits<std::_Rb_tree_const_iterator<std::string> >::iterator_category std::__iterator_category<std::_Rb_tree_const_iterator<std::string> >(std::_Rb_tree_const_iterator<std::string> const&)
  0.00      0.32     0.00        1     0.00     0.00  void std::__final_insertion_sort<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        1     0.00     0.00  std::string* std::__uninitialized_copy_a<std::_Rb_tree_const_iterator<std::string>, std::string*, std::string>(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::string*, std::allocator<std::string>&)
  0.00      0.32     0.00        1     0.00     0.00  void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        1     0.00     0.00  std::__lg(int)
  0.00      0.32     0.00        1     0.00     0.00  void std::sort<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.32     0.00        1     0.00     0.00  std::iterator_traits<std::_Rb_tree_const_iterator<std::string> >::difference_type std::distance<std::_Rb_tree_const_iterator<std::string> >(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

